Bauxite_destination_m,Bauxite_source_m,Bauxite_tonnes_m,Alumina_destination_m,Alumina_source_m,Alumina_tonnes_m,Bauxite_destination_x,Bauxite_source_x,Bauxite_tonnes_x,Alumina_destination_x,Alumina_source_x,Alumina_tonnes_x,Bauxite_local_country,Bauxite_local_tonnes,country1,avg_co2_kg_per_kwh,country2,energy_kwh_per_t
,,,Germany,Italy,9959094,,,,Canada,Rep. of Korea,2678064,,,,,,
,,,Germany,Ukraine,5683557,,,,Canada,Uzbekistan,1789800,,,,,,
,,,Germany,USA,5496401.8,,,,Canada,Brazil,1780897,,,,,,
,,,Germany,Australia,2206952.7,,,,Canada,Japan,1392153,,,,,,
,,,Germany,India,2161648.3,,,,Canada,Saudi Arabia,1385590,,,,,,
,,,Germany,Belgium,2057222,,,,Canada,France,1206735,,,,,,
,,,Germany,Japan,1936170.7,,,,Canada,Nigeria,1008134,,,,,,
,,,Germany,Rep. of Korea,1539460,,,,Canada,United Arab Emirates,969809,,,,,,
,,,Germany,Bahrain,1482200,,,,Canada,Slovenia,515230,,,,,,
,,,Germany,Latvia,1012850,,,,Canada,China,466576,,,,,,
,,,Germany,Switzerland,674350,,,,Canada,Netherlands,395354,,,,,,
,,,Germany,Singapore,645420,,,,Canada,"Other Asia, nes",243057,,,,,,
,,,Germany,Denmark,623982,,,,Canada,Finland,104814,,,,,,
,,,Germany,United Kingdom,532327.1,,,,Japan,China,26919339,,,,,,
,,,Germany,Russian Federation,526000,,,,Japan,Rep. of Korea,11781353,,,,,,
,,,Germany,Czechia,321957.5,,,,Japan,"Other Asia, nes",9923125,,,,,,
,,,Germany,Slovakia,277050,,,,Japan,USA,5534142,,,,,,
,,,Germany,Poland,104656.5,,,,Japan,Thailand,5284534,,,,,,
,,,Greece,China,734662,,,,Japan,Brazil,2734061,,,,,,
,,,Greece,Netherlands,619031,,,,Japan,Malaysia,2174820,,,,,,
,,,Greece,Rep. of Korea,400000,,,,Japan,India,1949033,,,,,,
,,,Greece,Austria,357700,,,,Japan,Germany,1481487,,,,,,
,,,Greece,Türkiye,240000,,,,Japan,Viet Nam,1160125,,,,,,
,,,Greece,Slovenia,169200,,,,Japan,Netherlands,1108310,,,,,,
,,,Greece,Bosnia Herzegovina,100000,,,,Japan,Belgium,774426,,,,,,
,,,Norway,Brazil,2044349680,,,,Japan,Indonesia,659282,,,,,,
,,,Norway,Spain,398076100,,,,Japan,Singapore,455444,,,,,,
,,,Norway,Germany,139598738,,,,Japan,Sweden,322400,,,,,,
,,,Norway,Netherlands,15752542,,,,Japan,Philippines,260644,,,,,,
,,,Norway,United Kingdom,13969576,,,,Japan,Bahrain,227375,,,,,,
,,,Norway,China,974043,,,,Japan,United Arab Emirates,200000,,,,,,
,,,Norway,Bosnia Herzegovina,248994,,,,Japan,Norway,180000,,,,,,
,,,Norway,USA,224310,,,,Japan,"China, Hong Kong SAR",148892,,,,,,
,,,Norway,Japan,180000,,,,Japan,Australia,142800,,,,,,
,,,Sweden,Ireland,181006000,,,,Japan,Slovenia,110140,,,,,,
,,,Sweden,Spain,41892000,,,,Japan,Austria,101000,,,,,,
,,,Sweden,Germany,38288018.3,,,,Rep. of Korea,Japan,43060381,,,,,,
,,,Sweden,Greece,16794320.7,,,,Rep. of Korea,China,21291035,,,,,,
,,,Sweden,Finland,4506174.5,,,,Rep. of Korea,Italy,7261705.8,,,,,,
,,,Sweden,Hungary,2241000,,,,Rep. of Korea,"Other Asia, nes",3617847.8,,,,,,
,,,Sweden,France,1654154,,,,Rep. of Korea,Thailand,3153380,,,,,,
,,,Sweden,Austria,1466412.6,,,,Rep. of Korea,Viet Nam,3120801,,,,,,
,,,Sweden,USA,1149383.8,,,,Rep. of Korea,New Zealand,2680000,,,,,,
,,,Sweden,Netherlands,978536.1,,,,Rep. of Korea,Indonesia,2673396,,,,,,
,,,Sweden,Italy,868000,,,,Rep. of Korea,USA,2057966.5,,,,,,
,,,Sweden,Luxembourg,706000,,,,Rep. of Korea,Spain,1764001,,,,,,
